Location,Code,Lat,Long
Daikaina Bell,NE_Dai,14.1875213979,1.4863100513
Dokimana,NE_Doki,13.0279,2.3301
Karma,NE_Kar,13.671667,1.815
Lata,NE_Lata,13.766667,1.666667
Libore Tonko,NE_LibTB,13.4034,2.1919
Namarde Goungou,NE_NG,13.6182,1.8801
Seberi,NE_Seb,13.294,2.3462
Tiaguirire,NE_Tiag,13.271,2.3165
Yoreize kouara,NE_YK,13.6121,1.8648
Youri,NE_Youri,13.3342,2.2475
Vitongoji,TZ_Vit,-5.233333,39.833333
Chambani,TZ_ChB,-5.333333,39.783333
Ngwachani,TZ_Ngw,-5.316667,39.75
Chanjamjawiri,TZ_ChJ,-5.2991833333,39.7607333333
Michakaini,TZ_Mich,-5.233333,39.766667
Uwandani,TZ_Uwa,-6.3,39.266667
Pujini,TZ_Puj,-5.3,39.8
Shumba Viamboni,TZ_ShV,-5.0028833333,39.7719333333
Kizimbani,TZ_Kiz,-5.116667,39.733333
Mzambarauni,TZ_Mza,-5.083333,39.766667
Konde B,TZ_KoB,-4.95,39.75
Piki,TZ_Pik,-5.116667,39.766667
Wingwi,TZ_Wing,-5,39.833333
Ng’ombeni,TZ_NgO,-5.3521833333,39.6473666667
Regeza Mwendo,TZ_Reg,-6.14946667,39.25723333
Kinyasini,TZ_Kin,-5.733333,39.3
Chaani,TZ_ChA,-5.95,39.3
Mahonda,TZ_Mah,-6,39.25
Bububu,TZ_Bub,-5.933333,39.233333
Kitope,TZ_Kit,-6.016667,39.266667
Fujoni,TZ_Fuj,-6,39.2
Mchangani,TZ_Mch,-6.05,39.316667
Mwera,TZ_Mwe,-6.15,39.283333
Kiboje,TZ_Kib,-6.083333,39.3
Mwenge,TZ_MwG,-6.05865000,39.25426667
Kombeni,TZ_Kom,-6.25,39.266667
